well,fold,split,cut_idx,native_cut_idx,prefix_rows,eval_rows,prefix_frac,prefix_gr_coverage,eval_gr_coverage,fallback_tvt,method,hidden_compatible_method,router_eligible_method,status,detail,eval_rmse,baseline_rmse,delta_rmse_vs_baseline,holdout_rmse,holdout_delta_rmse_vs_baseline,holdout_status,holdout_detail,pred_std,pred_move_abs_p90,pred_jump_abs_p99,pred_range
000d7d20,0,frac_0.50,2639,1442,2639,2639,0.5,0.6047745358090185,0.5395983327017809,11741.96,gr_shift__piecewise_tail_slope_Z,True,False,ok,eval_shift=10.000;eval_improvement=0.5876,3.5873437210251264,4.533036013345726,-0.9456922923205999,7.6589295716624575,3.664399078145993,ok,eval_shift=25.000;eval_improvement=0.0901,0.6418047928221693,1.578490725238953,0.00368163208420811,1.9101259229373682
000d7d20,0,frac_0.50,2639,1442,2639,2639,0.5,0.6047745358090185,0.5395983327017809,11741.96,gr_shift__fault_step_recent_level,True,False,ok,eval_shift=-20.000;eval_improvement=0.6854,3.586578178492256,4.533036013345726,-0.9464578348534705,7.988620968042097,3.994090474525633,ok,eval_shift=25.000;eval_improvement=0.0368,0.8015251794087727,3.999504673842239,0.01368996108991269,3.9998177108373056
000d7d20,0,frac_0.50,2639,1442,2639,2639,0.5,0.6047745358090185,0.5395983327017809,11741.96,gr_shift__recent_plateau_quantile,True,False,ok,eval_shift=15.000;eval_improvement=0.6695,7.2761703223245435,4.533036013345726,2.743134308978817,7.518360083237256,3.5238295897207914,ok,eval_shift=25.000;eval_improvement=0.1248,0.601143884556587,3.769628505381479,0.010267470818125735,2.999863283128434
000d7d20,0,frac_0.50,2639,1442,2639,2639,0.5,0.6047745358090185,0.5395983327017809,11741.96,gr_shift__self_corr_prefix_shape,True,False,ok,eval_shift=-20.000;eval_improvement=0.6854,3.586578178492256,4.533036013345726,-0.9464578348534705,7.988620968042097,3.994090474525633,ok,eval_shift=25.000;eval_improvement=0.0368,0.8015251794087727,3.999504673842239,0.01368996108991269,3.9998177108373056
000d7d20,0,frac_0.50,2639,1442,2639,2639,0.5,0.6047745358090185,0.5395983327017809,11741.96,gr_shift__typewell_particle_filter,True,False,ok,eval_shift=30.000;eval_improvement=0.1840,11.00361242730704,4.533036013345726,6.4705764139613136,8.215821091641162,4.221290598124698,ok,eval_shift=25.000;eval_improvement=0.0444,4.4068154350540345,10.178479497961964,1.656107281783226,18.364933690654652
000d7d20,0,frac_0.50,2639,1442,2639,2639,0.5,0.6047745358090185,0.5395983327017809,11741.96,ncc_shift__last_value,True,False,fallback,ncc_not_confident;corr=0.0000;gain=0.0000,4.533036013345726,4.533036013345726,0.0,3.9945304935164643,0.0,fallback,ncc_not_confident;corr=0.0000;gain=0.0000,3.637978807091713e-12,0.0,0.0,0.0
000d7d20,0,frac_0.50,2639,1442,2639,2639,0.5,0.6047745358090185,0.5395983327017809,11741.96,ncc_shift__recent_plateau_quantile,True,False,fallback,ncc_not_confident;corr=0.0000;gain=0.0000,5.017533539424094,4.533036013345726,0.4844975260783677,3.6645513698714134,-0.3299791236450509,fallback,ncc_not_confident;corr=0.0000;gain=0.0000,1.8189894035458565e-12,0.7700000000004366,0.0,0.0
00bbac68,2,native_prefix,1545,1545,1545,6014,0.20439211535917448,0.9288025889967637,0.8616561356834054,12223.54,last_value,True,True,ok,,15.263052288602681,15.263052288602681,0.0,1.365673370189508,0.0,ok,,1.8189894035458565e-12,0.0,0.0,0.0
00bbac68,2,native_prefix,1545,1545,1545,6014,0.20439211535917448,0.9288025889967637,0.8616561356834054,12223.54,damped_tail_linear_md,True,False,ok,damp=0.250;max_move=12.000,13.316995548054201,15.263052288602681,-1.9460567405484799,10.772512923575864,9.406839553386355,ok,damp=0.250;max_move=12.000,3.2951454817156844,10.526235747778445,0.001898024434922263,11.412820918691068
00bbac68,2,native_prefix,1545,1545,1545,6014,0.20439211535917448,0.9288025889967637,0.8616561356834054,12223.54,damped_tail_linear_Z,True,True,ok,damp=0.200;max_move=12.000,13.174448657761218,15.263052288602681,-2.0886036308414635,0.42209336828131794,-0.9435800019081901,ok,damp=0.200;max_move=12.000,2.6728566369296973,8.13705037808686,0.003726472775015333,8.346258633377147
00bbac68,2,native_prefix,1545,1545,1545,6014,0.20439211535917448,0.9288025889967637,0.8616561356834054,12223.54,damped_tail_linear_ANCC,False,False,ok,damp=0.200;max_move=12.000,13.770189730852156,15.263052288602681,-1.4928625577505255,10.861074630160406,9.495401259970897,ok,damp=0.200;max_move=12.000,2.5218988233522435,8.312910920599096,0.0027661042659019586,9.389817541970842
